#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2ECAE
#Date Time: 2022-09-23 14:03:17.197
#Sample rate: 4e+06Hz
#Samples: 4096

Time (s),UART
-0.0006355,X
-0.00063525,X
-0.000635,X
-0.00063475,X
-0.0006345,X
-0.00063425,X
-0.000634,X
-0.00063375,X
-0.0006335,X
-0.00063325,X
-0.000633,X
-0.00063275,X
-0.0006325,X
-0.00063225,X
-0.000632,X
-0.00063175,X
-0.0006315,X
-0.00063125,X
-0.000631,X
-0.00063075,X
-0.0006305,X
-0.00063025,X
-0.00063,X
-0.00062975,X
-0.0006295,X
-0.00062925,X
-0.000629,X
-0.00062875,X
-0.0006285,X
-0.00062825,X
-0.000628,X
-0.00062775,X
-0.0006275,X
-0.00062725,X
-0.000627,X
-0.00062675,X
-0.0006265,X
-0.00062625,X
-0.000626,X
-0.00062575,X
-0.0006255,X
-0.00062525,X
-0.000625,X
-0.00062475,X
-0.0006245,X
-0.00062425,X
-0.000624,X
-0.00062375,X
-0.0006235,X
-0.00062325,X
-0.000623,X
-0.00062275,X
-0.0006225,X
-0.00062225,X
-0.000622,X
-0.00062175,X
-0.0006215,X
-0.00062125,X
-0.000621,X
-0.00062075,X
-0.0006205,X
-0.00062025,X
-0.00062,X
-0.00061975,X
-0.0006195,X
-0.00061925,X
-0.000619,X
-0.00061875,X
-0.0006185,X
-0.00061825,X
-0.000618,X
-0.00061775,X
-0.0006175,X
-0.00061725,X
-0.000617,X
-0.00061675,X
-0.0006165,X
-0.00061625,X
-0.000616,X
-0.00061575,X
-0.0006155,X
-0.00061525,X
-0.000615,X
-0.00061475,X
-0.0006145,X
-0.00061425,X
-0.000614,X
-0.00061375,X
-0.0006135,X
-0.00061325,X
-0.000613,X
-0.00061275,X
-0.0006125,X
-0.00061225,X
-0.000612,X
-0.00061175,X
-0.0006115,X
-0.00061125,X
-0.000611,X
-0.00061075,X
-0.0006105,X
-0.00061025,X
-0.00061,X
-0.00060975,X
-0.0006095,X
-0.00060925,X
-0.000609,X
-0.00060875,X
-0.0006085,X
-0.00060825,X
-0.000608,X
-0.00060775,X
-0.0006075,X
-0.00060725,X
-0.000607,X
-0.00060675,X
-0.0006065,X
-0.00060625,X
-0.000606,X
-0.00060575,X
-0.0006055,X
-0.00060525,X
-0.000605,X
-0.00060475,X
-0.0006045,X
-0.00060425,X
-0.000604,X
-0.00060375,X
-0.0006035,X
-0.00060325,X
-0.000603,X
-0.00060275,X
-0.0006025,X
-0.00060225,X
-0.000602,X
-0.00060175,X
-0.0006015,X
-0.00060125,X
-0.000601,X
-0.00060075,X
-0.0006005,X
-0.00060025,X
-0.0006,X
-0.00059975,X
-0.0005995,X
-0.00059925,X
-0.000599,X
-0.00059875,X
-0.0005985,X
-0.00059825,X
-0.000598,X
-0.00059775,X
-0.0005975,X
-0.00059725,X
-0.000597,X
-0.00059675,X
-0.0005965,X
-0.00059625,X
-0.000596,X
-0.00059575,X
-0.0005955,X
-0.00059525,X
-0.000595,X
-0.00059475,X
-0.0005945,X
-0.00059425,X
-0.000594,X
-0.00059375,X
-0.0005935,X
-0.00059325,X
-0.000593,X
-0.00059275,X
-0.0005925,X
-0.00059225,X
-0.000592,X
-0.00059175,X
-0.0005915,X
-0.00059125,X
-0.000591,X
-0.00059075,X
-0.0005905,X
-0.00059025,X
-0.00059,X
-0.00058975,X
-0.0005895,X
-0.00058925,X
-0.000589,X
-0.00058875,X
-0.0005885,X
-0.00058825,X
-0.000588,X
-0.00058775,X
-0.0005875,X
-0.00058725,X
-0.000587,X
-0.00058675,X
-0.0005865,X
-0.00058625,X
-0.000586,X
-0.00058575,X
-0.0005855,X
-0.00058525,X
-0.000585,X
-0.00058475,X
-0.0005845,X
-0.00058425,X
-0.000584,X
-0.00058375,X
-0.0005835,X
-0.00058325,X
-0.000583,X
-0.00058275,X
-0.0005825,X
-0.00058225,X
-0.000582,X
-0.00058175,X
-0.0005815,X
-0.00058125,X
-0.000581,X
-0.00058075,X
-0.0005805,X
-0.00058025,X
-0.00058,X
-0.00057975,X
-0.0005795,X
-0.00057925,X
-0.000579,X
-0.00057875,X
-0.0005785,X
-0.00057825,X
-0.000578,X
-0.00057775,X
-0.0005775,X
-0.00057725,X
-0.000577,X
-0.00057675,X
-0.0005765,X
-0.00057625,X
-0.000576,X
-0.00057575,X
-0.0005755,X
-0.00057525,X
-0.000575,X
-0.00057475,X
-0.0005745,X
-0.00057425,X
-0.000574,X
-0.00057375,X
-0.0005735,X
-0.00057325,X
-0.000573,X
-0.00057275,X
-0.0005725,X
-0.00057225,X
-0.000572,X
-0.00057175,X
-0.0005715,X
-0.00057125,X
-0.000571,X
-0.00057075,X
-0.0005705,X
-0.00057025,X
-0.00057,X
-0.00056975,X
-0.0005695,X
-0.00056925,X
-0.000569,X
-0.00056875,X
-0.0005685,X
-0.00056825,X
-0.000568,X
-0.00056775,X
-0.0005675,X
-0.00056725,X
-0.000567,X
-0.00056675,X
-0.0005665,X
-0.00056625,X
-0.000566,X
-0.00056575,X
-0.0005655,X
-0.00056525,X
-0.000565,X
-0.00056475,X
-0.0005645,X
-0.00056425,X
-0.000564,X
-0.00056375,X
-0.0005635,X
-0.00056325,X
-0.000563,X
-0.00056275,X
-0.0005625,X
-0.00056225,X
-0.000562,X
-0.00056175,X
-0.0005615,X
-0.00056125,X
-0.000561,X
-0.00056075,X
-0.0005605,X
-0.00056025,X
-0.00056,X
-0.00055975,X
-0.0005595,X
-0.00055925,X
-0.000559,X
-0.00055875,X
-0.0005585,X
-0.00055825,X
-0.000558,X
-0.00055775,X
-0.0005575,X
-0.00055725,X
-0.000557,X
-0.00055675,X
-0.0005565,X
-0.00055625,X
-0.000556,X
-0.00055575,X
-0.0005555,X
-0.00055525,X
-0.000555,X
-0.00055475,X
-0.0005545,X
-0.00055425,X
-0.000554,X
-0.00055375,X
-0.0005535,X
-0.00055325,X
-0.000553,X
-0.00055275,X
-0.0005525,X
-0.00055225,X
-0.000552,X
-0.00055175,X
-0.0005515,X
-0.00055125,X
-0.000551,X
-0.00055075,X
-0.0005505,X
-0.00055025,X
-0.00055,X
-0.00054975,X
-0.0005495,X
-0.00054925,X
-0.000549,X
-0.00054875,X
-0.0005485,X
-0.00054825,X
-0.000548,X
-0.00054775,X
-0.0005475,X
-0.00054725,X
-0.000547,X
-0.00054675,X
-0.0005465,X
-0.00054625,X
-0.000546,X
-0.00054575,X
-0.0005455,X
-0.00054525,X
-0.000545,X
-0.00054475,X
-0.0005445,X
-0.00054425,X
-0.000544,X
-0.00054375,X
-0.0005435,X
-0.00054325,X
-0.000543,X
-0.00054275,X
-0.0005425,X
-0.00054225,X
-0.000542,X
-0.00054175,X
-0.0005415,X
-0.00054125,X
-0.000541,X
-0.00054075,X
-0.0005405,X
-0.00054025,X
-0.00054,X
-0.00053975,X
-0.0005395,X
-0.00053925,X
-0.000539,X
-0.00053875,X
-0.0005385,X
-0.00053825,X
-0.000538,X
-0.00053775,X
-0.0005375,X
-0.00053725,X
-0.000537,X
-0.00053675,X
-0.0005365,X
-0.00053625,X
-0.000536,X
-0.00053575,X
-0.0005355,X
-0.00053525,X
-0.000535,X
-0.00053475,X
-0.0005345,X
-0.00053425,X
-0.000534,X
-0.00053375,X
-0.0005335,X
-0.00053325,X
-0.000533,X
-0.00053275,X
-0.0005325,X
-0.00053225,X
-0.000532,X
-0.00053175,X
-0.0005315,X
-0.00053125,X
-0.000531,X
-0.00053075,X
-0.0005305,X
-0.00053025,X
-0.00053,X
-0.00052975,X
-0.0005295,X
-0.00052925,X
-0.000529,X
-0.00052875,X
-0.0005285,X
-0.00052825,X
-0.000528,X
-0.00052775,X
-0.0005275,X
-0.00052725,X
-0.000527,X
-0.00052675,X
-0.0005265,X
-0.00052625,X
-0.000526,X
-0.00052575,X
-0.0005255,X
-0.00052525,X
-0.000525,X
-0.00052475,X
-0.0005245,X
-0.00052425,X
-0.000524,X
-0.00052375,X
-0.0005235,X
-0.00052325,X
-0.000523,X
-0.00052275,X
-0.0005225,X
-0.00052225,X
-0.000522,X
-0.00052175,X
-0.0005215,X
-0.00052125,X
-0.000521,X
-0.00052075,X
-0.0005205,X
-0.00052025,X
-0.00052,X
-0.00051975,X
-0.0005195,X
-0.00051925,X
-0.000519,X
-0.00051875,X
-0.0005185,X
-0.00051825,X
-0.000518,X
-0.00051775,X
-0.0005175,X
-0.00051725,X
-0.000517,X
-0.00051675,X
-0.0005165,X
-0.00051625,X
-0.000516,X
-0.00051575,X
-0.0005155,X
-0.00051525,X
-0.000515,X
-0.00051475,X
-0.0005145,X
-0.00051425,X
-0.000514,X
-0.00051375,X
-0.0005135,X
-0.00051325,X
-0.000513,X
-0.00051275,X
-0.0005125,X
-0.00051225,X
-0.000512,X
-0.00051175,X
-0.0005115,X
-0.00051125,X
-0.000511,X
-0.00051075,X
-0.0005105,X
-0.00051025,X
-0.00051,X
-0.00050975,X
-0.0005095,X
-0.00050925,X
-0.000509,X
-0.00050875,X
-0.0005085,X
-0.00050825,X
-0.000508,X
-0.00050775,X
-0.0005075,X
-0.00050725,X
-0.000507,X
-0.00050675,X
-0.0005065,X
-0.00050625,X
-0.000506,X
-0.00050575,X
-0.0005055,X
-0.00050525,X
-0.000505,X
-0.00050475,X
-0.0005045,X
-0.00050425,X
-0.000504,X
-0.00050375,X
-0.0005035,X
-0.00050325,X
-0.000503,X
-0.00050275,X
-0.0005025,X
-0.00050225,X
-0.000502,X
-0.00050175,X
-0.0005015,X
-0.00050125,X
-0.000501,X
-0.00050075,X
-0.0005005,X
-0.00050025,X
-0.0005,X
-0.00049975,X
-0.0004995,X
-0.00049925,X
-0.000499,X
-0.00049875,X
-0.0004985,X
-0.00049825,X
-0.000498,X
-0.00049775,X
-0.0004975,X
-0.00049725,X
-0.000497,X
-0.00049675,X
-0.0004965,X
-0.00049625,X
-0.000496,X
-0.00049575,X
-0.0004955,b11001000
-0.00049525,b11001000
-0.000495,b11001000
-0.00049475,b11001000
-0.0004945,b11001000
-0.00049425,b11001000
-0.000494,b11001000
-0.00049375,b11001000
-0.0004935,b11001000
-0.00049325,b11001000
-0.000493,b11001000
-0.00049275,b11001000
-0.0004925,b11001000
-0.00049225,b11001000
-0.000492,b11001000
-0.00049175,b11001000
-0.0004915,b11001000
